"shapeid","x","y"

"0.0","10.629227715397601","63.4418805486365"

"0.0","10.6291389601362","63.4418805290535"

"0.0","10.628766745134499","63.4420916488246"

"0.0","10.6287334169424","63.4422138875959"

"0.0","10.628858383903799","63.4422555627976"

"0.0","10.6289555762288","63.44225557107679"

"0.0","10.6290721780318","63.442313892052496"

"0.0","10.629169397050099","63.44226112710069"

"0.0","10.629194405639002","63.4421499615744"

"0.0","10.6293277114362","63.442030513171694"

"0.0","10.6293193518329","63.4419221921923"

"0.0","10.629227715397601","63.4418805486365"

"1.0","10.637191859498799","63.4434362440536"

"1.0","10.6372125021143","63.44344047086889"

"1.0","10.6372155413766","63.4434402940109"

"1.0","10.6372200931797","63.443442051343695"

"1.0","10.637225980191198","63.44344690619909"

"1.0","10.6372313677502","63.44344976791089"

"1.0","10.637283096577","63.443463485298196"

"1.0","10.6372917416632","63.4434647383549"

"1.0","10.6373147609555","63.443463913245495"

"1.0","10.6373227654575","63.4434311630816"

"1.0","10.6373227979861","63.4434256799417"

"1.0","10.637329441545699","63.44341239733159"

"1.0","10.637329529683699","63.443398644738004"

"1.0","10.6373313244871","63.4433960923592"

"1.0","10.637336085622","63.44339515896849"

"1.0","10.6373508275652","63.4433946203999"

"1.0","10.6373550483152","63.4433919623268"

"1.0","10.637354975912201","63.443389802423"

"1.0","10.6373528500573","63.443387939400594"

"1.0","10.637341334144299","63.44338444095"

"1.0","10.6373494393471","63.4433800135687"

"1.0","10.6373584075857","63.4433765115913"

"1.0","10.6373660857247","63.443372250969894"

"1.0","10.6373725603271","63.4433653463686"

"1.0","10.6373716747271","63.4433632515252"

"1.0","10.6373663915746","63.4433610223351"

"1.0","10.637360290507399","63.4433602066184"

"1.0","10.6372969929265","63.4433657348565"

"1.0","10.637282895779698","63.4433686306181"

"1.0","10.637272555594699","63.4433719108689"

"1.0","10.6372610884704","63.4433773143818"

"1.0","10.6372505205742","63.443384723250794"

"1.0","10.6372216966064","63.4434104541791"

"1.0","10.637213328007899","63.4434139744683"

"1.0","10.637204364467598","63.4434161280232"

"1.0","10.6371985445872","63.44341873723639"

"1.0","10.6371909749968","63.443426237704294"

"1.0","10.637191859498799","63.4434362440536"

"2.0","10.6402625641983","63.443394271013"

"2.0","10.6402762932511","63.4433858796051"

"2.0","10.6403024334405","63.443384340165395"

"2.0","10.640308775497799","63.4433809376415"

"2.0","10.640310715399899","63.443378749275695"

"2.0","10.6403071677809","63.4433638068713"

"2.0","10.640307644879499","63.4433606748103"

"2.0","10.6403122969762","63.4433565014636"

"2.0","10.6403276750567","63.443349149335496"

"2.0","10.6403304281443","63.443346895892"

"2.0","10.6403317957458","63.4433405544875"

"2.0","10.6403164454897","63.443327948862496"

"2.0","10.6402982058463","63.4433184915534"

"2.0","10.640270226406399","63.443300465753296"

"2.0","10.640256057198199","63.4432932903952"

"2.0","10.6402499287953","63.4432926537763"

"2.0","10.640246262634799","63.44329299136601"

"2.0","10.640232610823698","63.443302194261"

"2.0","10.6402122306795","63.4433186537373"

"2.0","10.6402013228951","63.443324344261"

"2.0","10.6401918507683","63.4433272016993"

"2.0","10.6401750920515","63.443321205924896"

"2.0","10.640168999952198","63.4433216492544"

"2.0","10.6401641434956","63.443323209152396"

"2.0","10.640159627701399","63.4433264876197"

"2.0","10.6401564656472","63.443331425683"

"2.0","10.6401523441036","63.443363755059"

"2.0","10.640145584031899","63.4433685832719"

"2.0","10.6400765453766","63.44335379903689"
